year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,Andhra Pradesh,6,AMADALAVALASA,NOTA,,,,NOTA,NOTA,2651,5.0,2656,1.769828948,189677
2014,Andhra Pradesh,6,AMADALAVALASA,SATEESHKUMAR TULUGU,MALE,27.0,GENERAL,IND,Almirah,380,3.0,383,0.255212533,189677
2014,Andhra Pradesh,6,AMADALAVALASA,PEDADA RAMAMOHANA RAO,MALE,31.0,GENERAL,JnP,Glass Tumbler,3193,87.0,3280,2.185632134,189677
2014,Andhra Pradesh,6,AMADALAVALASA,GADDAYYA PATINI,MALE,64.0,GENERAL,BJP,Lotus,854,102.0,956,0.637031805,189677
2014,Andhra Pradesh,6,AMADALAVALASA,KOONA RAVIKUMAR,MALE,50.0,GENERAL,TDP,Bicycle,63274,632.0,63906,42.58384365,189677
2014,Andhra Pradesh,6,AMADALAVALASA,THAMMINENI SEETHARAM,MALE,64.0,GENERAL,YSRCP,Ceiling Fan,76801,1096.0,77897,51.90676413,189677
2019,Andhra Pradesh,6,AMADALAVALASA,BODDEPALLI SATYAVATHI,FEMALE,66.0,GENERAL,INC,Hand,969,24.0,993,0.661686802,189677
2019,Andhra Pradesh,6,AMADALAVALASA,NOTA,,,,NOTA,NOTA,2651,5.0,2656,1.769828948,189677
2019,Andhra Pradesh,6,AMADALAVALASA,SATEESHKUMAR TULUGU,MALE,27.0,GENERAL,IND,Almirah,380,3.0,383,0.255212533,189677
2019,Andhra Pradesh,6,AMADALAVALASA,PEDADA RAMAMOHANA RAO,MALE,31.0,GENERAL,JnP,Glass Tumbler,3193,87.0,3280,2.185632134,189677
2019,Andhra Pradesh,6,AMADALAVALASA,GADDAYYA PATINI,MALE,64.0,GENERAL,BJP,Lotus,854,102.0,956,0.637031805,189677
2019,Andhra Pradesh,6,AMADALAVALASA,KOONA RAVIKUMAR,MALE,50.0,GENERAL,TDP,Bicycle,63274,632.0,63906,42.58384365,189677
2019,Andhra Pradesh,6,AMADALAVALASA,THAMMINENI SEETHARAM,MALE,64.0,GENERAL,YSRCP,Ceiling Fan,76801,1096.0,77897,51.90676413,189677
2014,Andhra Pradesh,7,ETCHERLA,Mahanthi. Satyanarayana.,MALE,40.0,GENERAL,IND,Bat,782,,782,0.400262064,232070
2014,Andhra Pradesh,7,ETCHERLA,Mudili Venkata Ramana,MALE,40.0,GENERAL,IND,Gas Stove,640,,640,0.327580206,232070
2014,Andhra Pradesh,7,ETCHERLA,Ananth Mahanthi,MALE,33.0,GENERAL,IND,Carrom Board,269,,269,0.137686055,232070
2014,Andhra Pradesh,7,ETCHERLA,Kari. Siva Rao,MALE,42.0,GENERAL,PPOI,FLUTE,195,,195,0.099809594,232070
2014,Andhra Pradesh,7,ETCHERLA,NOTA,,,,NOTA,NOTA,4623,5.0,4628,2.368814364,232070
2014,Andhra Pradesh,7,ETCHERLA,Kottakotla Simhadri Naidu,MALE,41.0,GENERAL,INC,Hand,2126,9.0,2135,1.092787093,232070
2014,Andhra Pradesh,7,ETCHERLA,Badana. Venkata Janardhana Rao,MALE,45.0,GENERAL,JnP,Glass Tumbler,4992,76.0,5068,2.594025756,232070
